Sold Price,Beds,Baths,Floors,Garage Spaces,Lot Size (sq ft),Home Size (sq ft),Year Built,School Score Avg,Walk Score,Transit Score,Bike Score,Laundry,Heating,Air Conditioning,Pool,Address,City,County,Zip Code,Property Type,Sold Status,URL
1950000,3,3.0,2,2,2138.796,2180,1974,nan,68,19,97,True,True,False,True,2483 SHARON OAKS DR,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/2483-Sharon-Oaks-Dr-94025/home/1905010
1520000,4,2.0,1,1,5998.2119999999995,1585,1949,3.0,73,37,74,False,True,True,True,1228 CARLTON AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/1228-Carlton-Ave-94025/home/1909561
5650000,4,3.5,2,3,12266.496000000001,3290,1998,7.666666666666667,53,35,76,True,True,True,True,60 RIORDAN PL,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/60-Riordan-Pl-94025/home/1926643
6375000,5,4.0,2,2,9178.092,3910,2001,8.0,26,26,67,True,True,True,False,625 COTTON ST,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/625-Cotton-St-94025/home/1926983
2650000,2,1.5,1,1,8363.52,1410,1955,8.0,80,39,85,True,True,True,True,1015 MALLET CT,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/1015-Mallet-Ct-94025/home/1929297
3440000,2,2.5,nan,2,10497.96,1720,1954,nan,nan,nan,nan,True,True,True,True,399 CAMINO AL LAGO,MENLO PARK,SAN MATEO COUNTY,94027,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/399-Cam-Al-Lago-94027/home/1932384
4600000,4,4.0,1,1,8398.368,2931,1928,8.0,70,54,94,True,True,True,True,836 CREEK DR,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/836-Creek-Dr-94025/home/1937129
1900000,2,1.0,1,0,8398.368,990,1945,7.666666666666667,70,38,84,True,False,False,False,495 GILBERT AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY RESIDENTIAL,Sold,https://www.redfin.com/CA/Menlo-Park/495-Gilbert-Ave-94025/home/1942794
4195000,4,3.0,2,2,5998.2119999999995,2397,2021,nan,nan,nan,nan,True,True,True,True,2108 CAMINO DE LOS ROBLES,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/2108-Cam-De-Los-Robles-94025/home/1959493
1000000,3,1.0,1,2,5776.056,1010,1953,3.25,nan,nan,nan,True,True,True,True,2813 GEORGETOWN ST,EAST PALO ALTO,SAN MATEO COUNTY,94303,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/East-Palo-Alto/2813-Georgetown-St-94303/home/1964008
